customer_name,customer_email,order_id,order_date,product_name,product_price,quantity
Alice Johnson,alice@example.com,1020,2024-01-24,Monitor,300,1
Charlie Brown,charlie@example.com,1020,2024-01-28,Webcam,60,1
Jane Smith,jane@example.com,1021,2024-01-06,Printer,150,1
Charlie Brown,charlie@example.com,1021,2024-01-22,USB Drive,20,4
Charlie Brown,charlie@example.com,1021,2024-01-09,USB Drive,20,3
Alice Johnson,alice@example.com,1022,2024-01-18,Mouse,25,3
Charlie Brown,charlie@example.com,1022,2024-01-29,USB Drive,20,4
Charlie Brown,charlie@example.com,1022,2024-01-02,Laptop,1200,5
Bob Williams,bob@example.com,1023,2024-01-18,Laptop,1200,5
Alice Johnson,alice@example.com,1023,2024-01-08,USB Drive,20,3
Bob Williams,bob@example.com,1023,2024-01-30,USB Drive,20,1
Charlie Brown,charlie@example.com,1024,2024-01-22,USB Drive,20,4
Charlie Brown,charlie@example.com,1024,2024-01-27,Headphones,80,1
Bob Williams,bob@example.com,1024,2024-01-03,Monitor,300,5
Alice Johnson,alice@example.com,1025,2024-01-11,Monitor,300,5
Bob Williams,bob@example.com,1025,2024-01-20,Printer,150,4
Alice Johnson,alice@example.com,1025,2024-01-24,Monitor,300,4
John Doe,john@example.com,1026,2024-01-05,Monitor,300,4
Alice Johnson,alice@example.com,1026,2024-01-10,Webcam,60,2
Bob Williams,bob@example.com,1026,2024-01-09,Printer,150,2
Bob Williams,bob@example.com,1027,2024-01-01,Laptop,1200,5
Jane Smith,jane@example.com,1027,2024-01-19,Keyboard,100,2
Charlie Brown,charlie@example.com,1027,2024-01-24,Laptop,1200,5
Bob Williams,bob@example.com,1028,2024-01-03,Monitor,300,2
Charlie Brown,charlie@example.com,1028,2024-01-06,Printer,150,1
Alice Johnson,alice@example.com,1028,2024-01-30,Mouse,25,3
Charlie Brown,charlie@example.com,1029,2024-01-12,Monitor,300,3
Bob Williams,bob@example.com,1029,2024-01-28,Keyboard,100,5
Alice Johnson,alice@example.com,1029,2024-01-04,Headphones,80,4
Alice Johnson,alice@example.com,1030,2024-01-21,Mouse,25,3
Bob Williams,bob@example.com,1030,2024-01-29,Laptop,1200,3
Bob Williams,bob@example.com,1030,2024-01-14,Mouse,25,5
Charlie Brown,charlie@example.com,1031,2024-01-10,Keyboard,100,3
Alice Johnson,alice@example.com,1031,2024-01-07,Webcam,60,3
Alice Johnson,alice@example.com,1031,2024-01-06,Monitor,300,1
Jane Smith,jane@example.com,1032,2024-01-05,Printer,150,4
John Doe,john@example.com,1032,2024-01-20,Headphones,80,2
Alice Johnson,alice@example.com,1032,2024-01-04,Headphones,80,1
Jane Smith,jane@example.com,1033,2024-01-06,Monitor,300,3
Charlie Brown,charlie@example.com,1033,2024-01-29,Monitor,300,4
Bob Williams,bob@example.com,1033,2024-01-12,Monitor,300,1
Charlie Brown,charlie@example.com,1034,2024-01-06,Printer,150,1
John Doe,john@example.com,1034,2024-01-03,Headphones,80,3
Bob Williams,bob@example.com,1034,2024-01-08,Keyboard,100,2
Bob Williams,bob@example.com,1035,2024-01-28,Monitor,300,2
Charlie Brown,charlie@example.com,1035,2024-01-10,Webcam,60,5
John Doe,john@example.com,1035,2024-01-28,Printer,150,1
Alice Johnson,alice@example.com,1036,2024-01-29,Headphones,80,1
Alice Johnson,alice@example.com,1036,2024-01-20,Webcam,60,3
John Doe,john@example.com,1036,2024-01-16,Mouse,25,3
Charlie Brown,charlie@example.com,1037,2024-01-19,Headphones,80,3
Alice Johnson,alice@example.com,1037,2024-01-17,Mouse,25,3
Jane Smith,jane@example.com,1037,2024-01-26,Monitor,300,2
John Doe,john@example.com,1038,2024-01-31,Webcam,60,1
Charlie Brown,charlie@example.com,1038,2024-01-31,Keyboard,100,2
Bob Williams,bob@example.com,1038,2024-01-08,Mouse,25,3
Bob Williams,bob@example.com,1039,2024-01-07,Laptop,1200,1
Jane Smith,jane@example.com,1039,2024-01-03,Mouse,25,5
Charlie Brown,charlie@example.com,1039,2024-01-14,Headphones,80,4
Alice Johnson,alice@example.com,1040,2024-01-24,Laptop,1200,2
Charlie Brown,charlie@example.com,1040,2024-01-21,Webcam,60,1
Alice Johnson,alice@example.com,1040,2024-01-22,USB Drive,20,5
Charlie Brown,charlie@example.com,1041,2024-01-17,Mouse,25,5
Charlie Brown,charlie@example.com,1041,2024-01-23,Mouse,25,1
Bob Williams,bob@example.com,1041,2024-01-28,Printer,150,2
Alice Johnson,alice@example.com,1042,2024-01-17,Keyboard,100,2
Jane Smith,jane@example.com,1042,2024-01-16,USB Drive,20,4
Bob Williams,bob@example.com,1042,2024-01-21,USB Drive,20,1
Charlie Brown,charlie@example.com,1043,2024-01-23,USB Drive,20,3
Bob Williams,bob@example.com,1043,2024-01-18,Webcam,60,1
Jane Smith,jane@example.com,1043,2024-01-31,Laptop,1200,3
Alice Johnson,alice@example.com,1044,2024-01-24,Laptop,1200,1
Jane Smith,jane@example.com,1044,2024-01-09,Printer,150,5
Jane Smith,jane@example.com,1044,2024-01-27,Laptop,1200,3
Charlie Brown,charlie@example.com,1045,2024-01-08,Headphones,80,4
Alice Johnson,alice@example.com,1045,2024-01-24,Keyboard,100,5
Alice Johnson,alice@example.com,1045,2024-01-19,Printer,150,4
Jane Smith,jane@example.com,1046,2024-01-07,Headphones,80,4
John Doe,john@example.com,1046,2024-01-21,Monitor,300,2
Jane Smith,jane@example.com,1046,2024-01-23,Mouse,25,4
Alice Johnson,alice@example.com,1047,2024-01-08,Monitor,300,5
Jane Smith,jane@example.com,1047,2024-01-15,Printer,150,1
Alice Johnson,alice@example.com,1047,2024-01-20,USB Drive,20,4
John Doe,john@example.com,1048,2024-01-07,USB Drive,20,1
Bob Williams,bob@example.com,1048,2024-01-16,Headphones,80,3
Jane Smith,jane@example.com,1048,2024-01-23,Webcam,60,1
Bob Williams,bob@example.com,1049,2024-01-10,Laptop,1200,5
Bob Williams,bob@example.com,1049,2024-01-31,USB Drive,20,1
Bob Williams,bob@example.com,1049,2024-01-01,Keyboard,100,1
Alice Johnson,alice@example.com,1050,2024-01-22,Webcam,60,5
Jane Smith,jane@example.com,1050,2024-01-21,Webcam,60,1
John Doe,john@example.com,1050,2024-01-23,Webcam,60,2
